Certificate of Inspection,Inspection Number,Date of Occurance,Business Unique ID,Business Name,DBA Trade Name,Business Category,Inspection type,Device Category,Device Class,Device Type,Devices Inspected,Devices Approved,Devices Condemned/Confiscated,Address Type,Building Number,Street Name,Street Name 2,Unit Type,Unit,City,State,Postcode,Borough,Community Board,Council District,BIN,BBL,NTA,Latitude,Longitude
A0198504,INS-000803195,11/13/2024,BA-1600391-2023,SOUTH BEACH DELI CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,125,OLYMPIA BLVD,,,,STATEN ISLAND,NY,10305,Staten Island,502,50,5047892,5032560001,SI36,40.59236133,-74.07271491
A0198509,INS-000803206,11/13/2024,BA-1101707-2022,242 DELI FOOD LLC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,4781,WHITE PLAINS RD,,,,BRONX,NY,10470,Bronx,212,11,2071759,2051070001,BX62,40.90539573,-73.8494934
A0198541,INS-000803251,11/13/2024,BA-1713167-2024,"UNITED AIRLINES, INC.",,Airline,Scale,Scale,Airport Scales,Platform Scale - 02,19,19,0,Place (Landmark),1,MAIN TERMINAL,,,,FLUSHING,NY,11371,Queens,480,21,4000000,4009260001,QN98,,
A0198549,INS-000803265,11/13/2024,BA-1552357-2022,"YAFAI GROCERY STORE, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,1769,PITMAN AVE,,,,BRONX,NY,10466,Bronx,212,11,2070013,2050500077,BX62,40.89548885,-73.8505901
A0198550,INS-000803268,11/13/2024,BA-1678711-2023,JURI NATURAL MARKET 3 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,318,TOMPKINS AVE,,,,BROOKLYN,NY,11216,Brooklyn,303,36,3051170,3018140031,BK75,40.68679438,-73.94461226
A0198552,INS-000803275,11/13/2024,BA-1528241-2022,WAN QIANG LAUNDROMAT INC.,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,17014,JAMAICA AVE,,,,JAMAICA,NY,11432,Queens,412,27,4217481,4102120004,,40.70727482,-73.78934559
A0198562,INS-000802630,11/13/2024,BA-1713783-2024,H MART BAYSIDE LLC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,4640,FRANCIS LEWIS BLVD,,,,BAYSIDE,NY,11361,Queens,411,19,4125452,4055550001,QN48,40.75387077,-73.78096885
A0198562,INS-000802630,11/13/2024,BA-1713783-2024,H MART BAYSIDE LLC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,6,6,0,Complete Address,4640,FRANCIS LEWIS BLVD,,,,BAYSIDE,NY,11361,Queens,411,19,4125452,4055550001,QN48,40.75387077,-73.78096885
A0198665,INS-000803463,11/13/2024,BA-1666452-2023,ACATLAN DE OSORIO DELI GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,1324,NEWKIRK AVE,,,,BROOKLYN,NY,11230,Brooklyn,314,45,3121112,3052340011,BK42,40.63481071,-73.96479938
A0198678,INS-000803485,11/13/2024,BA-1713169-2024,"DELTA AIR LINES, INC.",,Airline,Scale,Scale,Airport Scales,Platform Scale - 02,82,82,0,Place (Landmark),1,MAIN TERMINAL,,,,FLUSHING,NY,11371,Queens,480,21,4000000,4009260001,QN98,,
A0198721,INS-000803562,11/13/2024,BA-1075276-2022,AY FAMILY GROCERY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,17020,JAMAICA AVE,,,,JAMAICA,NY,11432,Queens,412,27,4217484,4102120007,QN61,40.70728574,-73.78930948
A0198722,INS-000803564,11/13/2024,BA-1714196-2024,PATSON BAGEL INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,7039,PARSONS BLVD,,,,FRESH MEADOWS,NY,11365,Queens,408,24,4146991,4067890065,QN38,40.7306427,-73.81086631
A0198780,INS-000803667,11/13/2024,BA-1608342-2023,L&C Business LLC,,Misc Non-Food Retail - 817,Scale,Scale,Scale Inspection,Computing Scale - 02,1,1,0,Complete Address,1223,E 233RD ST,,,,BRONX,NY,10466,Bronx,212,12,2127263,2049540071,,40.88851705,-73.84212102
A0198894,INS-000803847,11/14/2024,BA-1114070-2022,120 FRESH MARKET INC.,Happy Farm,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,12001,LIBERTY AVE,,,,SOUTH RICHMOND HILL,NY,11419,Queens,410,29,4203779,4095580042,QN55,40.68666895,-73.82307387
A0198920,INS-000803887,11/14/2024,BA-1308898-2022,JOHANNA DELI GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,532,SUTTER AVE,,,,BROOKLYN,NY,11207,Brooklyn,305,42,3084279,3037670025,BK85,40.66875245,-73.89932617
A0198929,INS-000803905,11/14/2024,BA-1278636-2022,HUA LIAN SUPERMARKET INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,17,17,0,Complete Address,2503,PARSONS BLVD,,,,FLUSHING,NY,11354,Queens,407,19,4108020,4047790009,QN51,40.77647398,-73.82435894
A0198929,INS-000803905,11/14/2024,BA-1278636-2022,HUA LIAN SUPERMARKET INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,2,2,0,Complete Address,2503,PARSONS BLVD,,,,FLUSHING,NY,11354,Queens,407,19,4108020,4047790009,QN51,40.77647398,-73.82435894
A0198929,INS-000803905,11/14/2024,BA-1278636-2022,HUA LIAN SUPERMARKET INC,,Supermarket - 819,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,1,1,0,Complete Address,2503,PARSONS BLVD,,,,FLUSHING,NY,11354,Queens,407,19,4108020,4047790009,QN51,40.77647398,-73.82435894
A0198936,INS-000803916,11/14/2024,BA-1451027-2022,MEI JIA LAUNDROMAT INC.,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,886,DEKALB AVE,,,,BROOKLYN,NY,11221,Brooklyn,303,36,3399637,3017820032,BK35,40.69257847,-73.94081749
A0198966,INS-000803962,11/14/2024,BA-1089759-2022,BBGO CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,Complete Address,4912,VERNON BLVD,,,,LONG ISLAND CITY,NY,11101,Queens,402,26,4000125,4000320004,QN31,40.74325548,-73.95393375
A0198993,INS-000804001,11/14/2024,BA-1198903-2022,"ELTINGVILLE MEATS, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,Complete Address,3946,RICHMOND AVE,,,,STATEN ISLAND,NY,10312,Staten Island,503,51,5068723,5053230006,,40.54193447,-74.16294637
A0198994,INS-000804002,11/14/2024,BA-1431825-2022,NAF DELI GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,207,HART ST,,,,BROOKLYN,NY,11206,Brooklyn,303,36,3049177,3017680047,BK75,40.69378204,-73.94352462
A0199036,INS-000804069,11/14/2024,BA-1694767-2024,LUCKY DELI GROCERY II CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,591,SUTTER AVE,,,,BROOKLYN,NY,11207,Brooklyn,305,42,3084048,3037530001,BK85,40.66912091,-73.89696809
A0199070,INS-000804117,11/14/2024,BA-1128611-2022,7955 AE COMPANY INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,Complete Address,13508,ROOSEVELT AVE,,,,FLUSHING,NY,11354,Queens,407,20,4114109,4050360017,QN22,40.75906929,-73.83153752
A0199085,INS-000804171,11/15/2024,BA-1620675-2023,LA PEQUENA FARM CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,10819,ROOSEVELT AVE,,,,CORONA,NY,11368,Queens,403,21,4044846,4017800078,QN26,40.75086011,-73.85831336
A0199093,INS-000801613,11/15/2024,BA-1713533-2024,"BOGOPA ENTERPRISES, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,4,4,0,Complete Address,21,MANHATTAN AVE,,,,BROOKLYN,NY,11206,Brooklyn,301,34,3071500,3031040001,BK90,40.70293893,-73.94423458
A0198573,INS-000803307,11/13/2024,BA-1713165-2024,JETBLUE AIRWAYS CORPORATION,,Airline,Scale,Scale,Airport Scales,Platform Scale - 02,11,11,0,Place (Landmark),1,MAIN TERMINAL,,,,FLUSHING,NY,11371,Queens,480,21,4000000,4009260001,QN98,,
A0198588,INS-000797350,11/13/2024,BA-1676106-2023,DAIRY MAID RAVIOLI MANUFACTURING CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,216,AVENUE U,,FL,1,BROOKLYN,NY,11223,Brooklyn,315,44,3192582,3071220005,BK26,40.59665276,-73.97611903
A0198588,INS-000797350,11/13/2024,BA-1676106-2023,DAIRY MAID RAVIOLI MANUFACTURING CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Pre-pack Scale - 01,4,4,0,Complete Address,216,AVENUE U,,FL,1,BROOKLYN,NY,11223,Brooklyn,315,44,3192582,3071220005,BK26,40.59665276,-73.97611903
A0198364,INS-000802917,11/12/2024,BA-1327807-2022,HERMANOS ORGANIC DELI CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,57,MALCOLM X BLVD,,,,BROOKLYN,NY,11221,Brooklyn,303,36,3043641,3016120008,BK35,40.69211729,-73.93087609
A0198612,INS-000803368,11/13/2024,BA-1713172-2024,"AMERICAN AIRLINES, INC.",,Airline,Scale,Scale,Airport Scales,Platform Scale - 02,47,47,0,Place (Landmark),1,MAIN TERMINAL,,,,FLUSHING,NY,11371,Queens,480,21,4000000,4009260001,QN98,,
A0199127,INS-000804227,11/15/2024,BA-1647565-2023,"GONZALEZ, BASILIA",ARIEL'S GROCERY STORE,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,4206,108TH ST,,,,CORONA,NY,11368,Queens,404,21,4048873,4019860037,QN26,40.74922111,-73.85800285
A0199141,INS-000804245,11/15/2024,BA-1713162-2024,JETBLUE AIRWAYS CORPORATION,,Airline,Scale,Scale,Airport Scales,Platform Scale - 02,45,45,0,Place (Landmark),1,JFK INTERNATIONAL AIRPORT,,,,JAMAICA,NY,11430,Queens,483,31,4000000,4142600001,QN98,40.64832045,-73.78828125
A0199141,INS-000804245,11/15/2024,BA-1713162-2024,JETBLUE AIRWAYS CORPORATION,,Airline,Scale,Scale,Airport Scales,Platform Scale - 03,33,33,0,Place (Landmark),1,JFK INTERNATIONAL AIRPORT,,,,JAMAICA,NY,11430,Queens,483,31,4000000,4142600001,QN98,40.64832045,-73.78828125
A0199146,INS-000804248,11/15/2024,BA-1312981-2022,KAJ MEAT CORP,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,631,GATES AVE,,,,BROOKLYN,NY,11221,Brooklyn,303,36,3051049,3018110072,BK35,40.68729503,-73.94129814
A0199147,INS-000804249,11/15/2024,BA-1645411-2023,RAMIREZ GROCERY STORE INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,10870,43RD AVE,,,,CORONA,NY,11368,Queens,404,21,4049365,4019990029,QN26,40.74883586,-73.85720606
A0199156,INS-000804270,11/15/2024,BA-1545035-2022,TECH ELECTRONICS SHOP INC.,,Secondhand Dealer [General] - 006,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,16804,UNION TPKE,,,,FRESH MEADOWS,NY,11366,Queens,408,24,4152117,4070190001,QN38,40.72298299,-73.80003968
A0199215,INS-000804370,11/15/2024,BA-1120678-2022,901 BURKE DELI & GROCERY LLC.,H & M DELI AND GROCERY,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,901,BURKE AVE,,,,BRONX,NY,10469,Bronx,212,12,2056480,2046080009,BX44,40.87134061,-73.86122765
A0199252,INS-000804434,11/15/2024,BA-1083571-2022,"ANUJEE GROCERY, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,328,VICTORY BLVD,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5108912,5005760001,SI37,40.63430403,-74.08541761
A0199309,INS-000804721,11/12/2024,BA-1417215-2022,M&L GOLDEN CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,3614,30TH AVE,,,,ASTORIA,NY,11103,Queens,401,22,4010014,4006510047,QN70,40.76491843,-73.91719456
A0199313,INS-000804729,11/12/2024,BA-1714556-2024,"BREAD GALLERY, INC",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,190,NASSAU AVE,,,,BROOKLYN,NY,11222,Brooklyn,301,33,3066981,3026850007,BK76,40.72549872,-73.94547844
A0199335,INS-000804757,11/13/2024,BA-1425105-2022,MOCHA 1 CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,202,SMITH ST,,,,BROOKLYN,NY,11201,Brooklyn,306,39,3336067,3004020038,BK38,40.6847214,-73.99183686
A0199463,INS-000801863,11/19/2024,BA-1338004-2022,"LAUNDRY EXPRESS CENTER 18, INC.",,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,58,E 18TH ST,,,,BROOKLYN,NY,11226,Brooklyn,314,40,3423551,3050780030,BK42,40.64985711,-73.96316616
A0199472,INS-000805009,11/19/2024,BA-1113348-2022,ANIL JEWELRY CORP.,,Secondhand Dealer [General] - 006,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,21605,JAMAICA AVE,,,,QUEENS VILLAGE,NY,11428,Queens,413,23,4226372,4106090062,QN34,40.71757373,-73.73871542
A0199475,INS-000805015,11/19/2024,BA-1646483-2023,CALIFORNIA DELI GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,4126,54TH ST,,,,WOODSIDE,NY,11377,Queens,402,26,4030828,4013160065,QN63,40.74493992,-73.91051769
A0199541,INS-000804221,11/19/2024,BA-1189061-2022,"COOL CYCLE LAUNDRY, INC.",,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,0,1,Complete Address,352,FOREST AVE,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5006847,5002510004,SI35,40.63113763,-74.10100978
A0199542,INS-000805109,11/19/2024,BA-1211437-2022,"GEM FINANCIAL SERVICES, INC.",GEM PAWNBROKERS,Secondhand Dealer [General] - 006,Scale,Scale,Scale Inspection,Computing Scale - 01,3,3,0,Complete Address,21615,JAMAICA AVE,,,,QUEENS VILLAGE,NY,11428,Queens,413,23,4226367,4106090057,QN34,40.7175873,-73.73864682
A0199584,INS-000805193,11/19/2024,BA-1713159-2024,"AVAIRPROS SERVICES, INC.",,Airline,Scale,Scale,Airport Scales,Platform Scale - 02,144,144,0,Place (Landmark),1,JFK INTERNATIONAL AIRPORT,,,,JAMAICA,NY,11430,Queens,483,31,4000000,4142600001,QN98,40.64832045,-73.78828125
A0199584,INS-000805193,11/19/2024,BA-1713159-2024,"AVAIRPROS SERVICES, INC.",,Airline,Scale,Scale,Airport Scales,Platform Scale - 03,6,6,0,Place (Landmark),1,JFK INTERNATIONAL AIRPORT,,,,JAMAICA,NY,11430,Queens,483,31,4000000,4142600001,QN98,40.64832045,-73.78828125
A0199591,INS-000804780,11/19/2024,BA-1032270-2022,AN LIN LAUNDROMAT INC.,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,524,SUTTER AVE,,,,BROOKLYN,NY,11207,Brooklyn,305,42,3084273,3037670021,BK85,40.66872518,-73.89952448
A0199597,INS-000805213,11/19/2024,BA-1213144-2022,"CLOVE ROAD BAGELS, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,1300,CLOVE RD,,,,STATEN ISLAND,NY,10301,Staten Island,501,49,5016495,5006520018,SI07,40.61545505,-74.102787
A0199607,INS-000805230,11/19/2024,BA-1642623-2023,"NEW APPLE MARKET, INC.",,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,21601,JAMAICA AVE,,,,QUEENS VLG,NY,11428,Queens,413,23,4226374,4106090064,QN34,40.7175683,-73.7387443
A0199620,INS-000805249,11/19/2024,BA-1404874-2022,NEW M & V LAUNDROMAT CORP,,Retail Laundry,Scale,Scale,Laundry Scales,Computing Scale - 02,1,1,0,Complete Address,2131,HOLLAND AVE,,,,BRONX,NY,10462,Bronx,211,13,2048796,2042880035,BX49,40.85397478,-73.86577878
A0199702,INS-000805376,11/19/2024,BA-1714774-2024,MR. MANGO’S BODEGA CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,112,ROCKAWAY AVE,,,,BROOKLYN,NY,11233,Brooklyn,316,41,3041681,3015330046,BK79,40.6796809,-73.91112442
A0199729,INS-000805426,11/19/2024,BA-1583205-2023,Bronxdale Vegs & Meat Corp,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,9,9,0,Complete Address,1859,BRONXDALE AVE,,,,BRONX,NY,10462,Bronx,211,13,2043791,2040560063,BX37,40.84799299,-73.86025347
A0199729,INS-000805426,11/19/2024,BA-1583205-2023,Bronxdale Vegs & Meat Corp,,Supermarket - 819,Scale,Scale,Scale Inspection,Customer Scale - 01,1,1,0,Complete Address,1859,BRONXDALE AVE,,,,BRONX,NY,10462,Bronx,211,13,2043791,2040560063,BX37,40.84799299,-73.86025347
A0199557,INS-000796738,11/19/2024,BA-1500336-2022,XING WANG LAUNDROMAT INC.,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,1105,CLARKSON AVE,,,,BROOKLYN,NY,11212,Brooklyn,317,41,3100681,3046310055,BK96,40.66020055,-73.92153798
A0199773,INS-000805523,11/20/2024,BA-1714836-2024,MERRICK DELI & GRILL 1 CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,21830,MERRICK BLVD,,,,SPRNGFLD GDNS,NY,11413,Queens,413,31,4279953,4130120039,QN66,40.67953898,-73.75093519
A0199805,INS-000805573,11/20/2024,BA-1553784-2022,"YUSHIN, INC.",FOREST PARK LAUNDROMAT,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,8042,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409,32,4183709,4089190015,QN53,40.69228477,-73.86108106
A0199814,INS-000802773,11/20/2024,BA-1117759-2022,BREEZY LAUNDROMAT INC,WEST 16TH LAUNDROMAT,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,1527,MERMAID AVE,,,,BROOKLYN,NY,11224,Brooklyn,313,47,3189097,3070220054,BK21,40.57682829,-73.98300894
A0199889,INS-000805710,11/20/2024,BA-1714762-2024,"JFK MILLENNIUM PARTNERS, LLC",,Airline,Scale,Scale,Airport Scales,Platform Scale - 02,89,89,0,Place (Landmark),,JOHN F. KENNEDY INTERNATIONAL AIRPORT,,,,Jamaica,NY,11430,Queens,,,,,,40.6446245,-73.7797035
A0199896,INS-000805721,11/20/2024,BA-1714863-2024,"SECURE WRAP GROUP, INC.",,Airline,Scale,Scale,Airport Scales,Platform Scale - 02,1,1,0,Place (Landmark),,JOHN F. KENNEDY INTERNATIONAL AIRPORT,,,,Jamaica,NY,11430,Queens,,,,,,40.6446245,-73.7797035
A0199906,INS-000805737,11/20/2024,BA-1043042-2022,D & L FOOD CORP.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,8,8,0,Complete Address,239,BOND ST,,,,BROOKLYN,NY,11217,Brooklyn,306,39,3006593,3004110003,BK38,40.6821547,-73.98806944
A0199942,INS-000805803,11/20/2024,BA-1327364-2022,H.M.Y. CORP.,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,8414,JAMAICA AVE,,,,WOODHAVEN,NY,11421,Queens,409,32,4183715,4089190021,QN53,40.6924776,-73.85939303
A0199956,INS-000805829,11/20/2024,BA-1032264-2022,ABDUL GABBAR AHMED,ONE STOP DELI,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,647,4TH AVE,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3009172,3006370003,BK37,40.66352641,-73.99482397
A0199966,INS-000805847,11/20/2024,BA-1373620-2022,PIECE - A - CAKE LLC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,181,NEW DORP LN,,,,STATEN ISLAND,NY,10306,Staten Island,502,50,5052598,5036370022,SI45,40.57322579,-74.11491029
A0199926,INS-000805771,11/20/2024,BA-1546843-2022,THE CAKE CHEF INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,957,JEWETT AVE,,,,STATEN ISLAND,NY,10314,Staten Island,501,50,5011001,5003780033,,40.61306338,-74.13075097
A0199975,INS-000805857,11/20/2024,BA-1711907-2024,EL MEXICANO MEAT MARKET CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,1488,WESTCHESTER AVE,,,,BRONX,NY,10472,Bronx,209,17,2023774,2037380038,BX55,40.82845979,-73.88061636
A0199987,INS-000805880,11/20/2024,BA-1035671-2022,ALFONSO'S PASTRY SHOPPE INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,1899,VICTORY BOULEVARD,,,,STATEN ISLAND,NY,10314,Staten Island,501,50,5011065,5003780185,SI07,40.61274895,-74.12721704
A0200013,INS-000805928,11/20/2024,BA-1541248-2022,T S R LAUNDRY CORP.,,Retail Laundry,Scale,Scale,Laundry Scales,Misc Scale - 02,1,1,0,Complete Address,3559,WHITE PLAINS RD,,,,BRONX,NY,10467,Bronx,212,12,2057311,2046430037,BX44,40.87878945,-73.86563828
A0200038,INS-000805975,11/20/2024,BA-983873-2022,706 EL TENAMPA DELI GROCERY CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,706,4TH AVE,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3331268,3006420041,,40.66228583,-73.99613967
A0200050,INS-000805993,11/20/2024,BA-1714911-2024,TONYS II CONVENIENCE CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,51,WOLCOTT ST,,,,BROOKLYN,NY,11231,Brooklyn,306,38,3336637,3005770007,BK33,40.67617117,-74.01121206
A0200097,INS-000802823,11/21/2024,BA-1665240-2023,FULTON NEW LAUNDROMAT INC.,,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,1253,FULTON ST,,,,BROOKLYN,NY,11216,Brooklyn,303,36,3052974,3018420045,BK75,40.68053133,-73.95187874
A0200143,INS-000806172,11/21/2024,BA-1130168-2022,846 GROCERY CORP.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,846,GERARD AVE,,,,BRONX,NY,10451,Bronx,204,16,2002907,2024740035,BX63,40.82686429,-73.92530889
A0200172,INS-000798998,11/21/2024,BA-1712853-2024,ENDS MEAT LLC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,254,36TH ST,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3398687,3006950020,BK32,40.65595072,-74.00715768
A0200213,INS-000806293,11/21/2024,BA-1539615-2022,WHOLE FOODS MARKET GROUP INC,WHOLE FOODS MARKET,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,14,14,0,Complete Address,167,41ST ST,,,,BROOKLYN,NY,11232,Brooklyn,307,38,3337106,3007060001,BK32,40.65464374,-74.01251309
A0200222,INS-000806310,11/21/2024,BA-1715004-2024,YI JIE SHA GROCERY INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,5423,9TH AVE,,,,BROOKLYN,NY,11220,Brooklyn,312,43,3139177,3056730001,BK88,40.63720948,-74.00417234
A0200234,INS-000806330,11/21/2024,BA-1022639-2022,BAGEL MARKET INC,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,106,7TH AVE,,STE,A,BROOKLYN,NY,11215,Brooklyn,306,39,3020200,3009570038,BK37,40.67409685,-73.97572358
A0200321,INS-000806477,11/21/2024,BA-1712478-2024,Lucky Jwelry Corp 1,,Secondhand Dealer [General] - 006,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,106,NAGLE AVE,,,,NEW YORK,NY,10040,Manhattan,112,10,1064184,1021740089,MN35,40.8607598,-73.92704948
A0200324,INS-000806483,11/21/2024,BA-1383150-2022,PARK FISH MARKET INC.,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,458,PARK AVE,,,,BROOKLYN,NY,11205,Brooklyn,303,33,3334783,3018990029,,40.69659619,-73.95815647
A0200367,INS-000806552,11/21/2024,BA-1604394-2023,DOMINGA A. YAT DE LEON,LATINO’S DELI GROCERY,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,3823,FORT HAMILTON PARKWAY,,,,BROOKLYN,NY,11218,Brooklyn,312,39,3122978,3052900026,,40.64349193,-73.98998976
A0200470,INS-000806743,11/22/2024,BA-1596853-2023,2022 GOURMET DELI INCORPORATED,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,899,CRESCENT ST,,,,BROOKLYN,NY,11208,Brooklyn,305,42,3098968,3045290001,BK82,40.66524251,-73.8674526
A0200482,INS-000806761,11/22/2024,BA-1462520-2022,R & S MARINE AVENUE CORP,,Grocery-Retail - 808,Scale,Scale,Scale Inspection,Computing Scale - 01,1,1,0,Complete Address,9801,3RD AVE,,,,BROOKLYN,NY,11209,Brooklyn,310,47,3155989,3061300006,BK31,40.61492491,-74.03453459
A0200489,INS-000806770,11/22/2024,BA-1394657-2022,MPM ENTERPRISES FLATBUSH INC.,,Supermarket - 819,Scale,Scale,Scale Inspection,Computing Scale - 01,2,2,0,Complete Address,342,FLATBUSH AVE,,,,BROOKLYN,NY,11238,Brooklyn,306,39,3024375,3010580033,BK37,40.67619844,-73.97175714
A0200507,INS-000806795,11/22/2024,BA-1715102-2024,I FUN WASH LAUNDROMAT INC.,99-4951384,Retail Laundry,Scale,Scale,Laundry Scales,Platform Scale - 02,1,1,0,Complete Address,8122,18TH AVE,,,,BROOKLYN,NY,11214,Brooklyn,311,38,3340431,3063140056,BK28,40.60956128,-73.99985954
